Symbol,Close,RS,EMA5,EMA20,EMA50,EMA200,MarketCap,Sector
360ONE,1138.0,0.049442703929948095,1153.3968124702108,1168.8993158238384,1150.943538408622,1113.7824999156553,,
ABB,7390.0,0.045371432139869716,7429.860761866398,7477.310125212791,7346.731099896929,6643.790540851636,,
ACC,1267.699951171875,-0.06011505583915577,1276.2760383427042,1301.7801622190664,1329.3270755953104,1447.451447982571,,
APLAPOLLO,2211.199951171875,0.18340552734854465,2212.431078185501,2140.7641993355105,2029.1571977636293,1936.2469981539703,,
AUBANK,1049.199951171875,0.06545288499624768,1066.523894212907,1076.6883557956464,1059.8647686616935,998.6439851075668,,
ADANIENSOL,1405.5999755859375,-0.12927859584720813,1417.332371099085,1507.9355468220526,1542.8290314474818,1349.0568273962572,,
ADANIENT,2928.60009765625,-0.04032199730827679,2932.530205280121,2988.2663932896626,2986.859439484958,2696.6109462732597,,
ADANIGREEN,1298.699951171875,-0.1523733228630768,1292.3574060470971,1314.5998833357971,1358.1946326358488,1255.7899196044502,,
ADANIPORTS,1697.0,-0.08154288158999556,1690.886809055717,1691.792596309051,1716.1104581085863,1644.2720643036196,,
ADANIPOWER,205.64999389648438,-0.11419859014582279,206.56147659440535,207.37497496538725,210.40569236965013,193.58020277757709,,
ATGL,609.3499755859375,-0.19233398532065504,614.9607742299819,635.6832900814555,656.2040687668489,638.8441502383963,,
ABCAPITAL,399.8999938964844,0.13089094782871968,401.8418988474811,404.38879992804755,398.73726578613906,367.2149759425341,,
ALKEM,5138.5,-0.06511200871758571,5202.497391693032,5338.3353208786275,5430.0121375154695,5458.136081393595,,
AMBUJACEM,400.6000061035156,-0.05697933062717209,403.6529570249907,411.5691620748442,420.55637732033415,455.89814177667944,,
APOLLOHOSP,8754.5,0.020084239885184152,8729.101493358488,8771.405193243509,8718.322550316392,8191.439861560883,,
ASHOKLEY,169.52999877929688,0.16948217897900486,170.13622723817394,171.63447298647114,167.8819695010543,163.8167401896711,,
ASIANPAINT,2509.0,-0.0741745131387408,2540.793034696714,2614.3146891784736,2645.896400568152,2588.4300554971874,,
ASTRAL,1493.4000244140625,-0.03713697982085662,1498.394617732447,1502.2187867004557,1486.4097793007,1494.8733304747657,,
AUROPHARMA,1653.300048828125,0.10782878350060554,1653.3010137335484,1638.1141444313103,1596.3835184562142,1436.082854112061,,
DMART,3712.5,-0.11117688230184308,3771.7336260271913,3871.2550234038376,3963.4919001653248,4066.8217816628594,,
AXISBANK,1267.5999755859375,-0.02682413353144597,1266.9142023148,1257.5243567604573,1266.1265840175804,1272.6013939238874,,
BSE,3438.699951171875,-0.1436854884450658,3358.125210729669,3372.4638223758216,3498.51543977431,3361.910462573923,,
BAJAJ-AUTO,11765.0,0.11866904226541597,11917.172287199108,11796.708648160422,11329.079373192699,10254.814465827205,,
BAJFINANCE,1061.0,0.1921658992879327,1059.9419803191824,1072.130283031219,1053.3736397370722,991.9055101968339,,
BAJAJFINSV,1959.5,0.13928502739215665,1977.437927135975,1992.1023316216679,1951.4476791927946,1905.9352092597603,,
BAJAJHLDNG,11000.0,0.09787926510358713,11151.11265319105,11250.78954573459,11052.760767709706,10858.669403435499,,
BAJAJHFL,82.55000305175781,-0.02695477043734762,83.02785655254763,84.12648551245755,85.07729205659008,88.83094037854161,,
BANKBARODA,236.52000427246094,-0.1124825801655236,238.78292308684846,242.20681989022324,247.6826403814975,259.57449269315464,,
BANKINDIA,141.67999267578125,-0.01607915872005261,143.30495923866167,143.17319523901494,142.75365929246354,141.62138586906516,,
BDL,1254.699951171875,0.028293131634252955,1263.1303778938989,1299.2624376360884,1305.6064926161812,1343.2301817415125,,
BEL,406.6000061035156,-0.0408492913989319,407.5496348593074,407.9684558134229,408.4838329173071,414.2725746782663,,
BHARATFORG,1945.4000244140625,0.002717975938630879,1984.0722170385743,2046.793595110365,2067.208893226152,1875.5700271465405,,
BHEL,421.79998779296875,0.06563466921141514,427.40516261357516,423.1543831541096,412.6074163784946,357.14629039171444,,
BPCL,312.5,0.06611591832944641,316.2829396860302,316.687787873923,314.5964513305929,318.1280251409199,,
BHARTIARTL,1831.0999755859375,-0.005277912570705312,1850.2662181432042,1891.1083610335304,1897.0435412394916,1896.5802714276601,,
BHARTIHEXA,1511.4000244140625,0.02177693079246179,1515.4954935802336,1549.2561125087059,1551.258343941857,1574.1183171055789,,
BIOCON,392.20001220703125,-0.06660441409966511,399.1048415289847,410.305946336161,415.1554708007546,401.24380531874635,,
BLUESTARCO,1493.0,-0.05970399803180326,1483.8016094525567,1508.0380003002929,1562.3155704891187,1676.2046141633805,,
BOSCHLTD,47465.0,0.26955077272169703,47513.56038463316,47070.94493685632,44490.51826924408,39741.80190887031,,
BRITANNIA,5044.0,-0.017707698577421382,5124.3994450470045,5285.77602202935,5330.352944648521,5464.605658051133,,
CGPOWER,900.2999877929688,-0.030528784163091238,893.4939436991359,887.187615812141,886.071132979107,822.3882045358307,,
CANBK,124.37000274658203,-0.05254005461267863,125.59089617112579,127.43698651846366,128.0767845409084,130.4244308640213,,
CHOLAFIN,1801.4000244140625,0.20405717087167963,1828.4842762080837,1848.7883748372474,1813.650623618799,1702.0575348322895,,
CIPLA,1383.699951171875,-0.030134490710660433,1395.5611446949758,1418.898677276892,1422.2774110994924,1402.6478449750125,,
COALINDIA,414.20001220703125,-0.11058589024698595,410.9794391340635,405.7825993808185,411.82943455412953,415.65257137494575,,
COCHINSHIP,1510.5999755859375,0.044364956457766835,1499.0938306144246,1492.965211950903,1478.9957880884883,1517.4950000101032,,
COFORGE,1938.699951171875,0.33327551719769355,1958.127550547366,1888.3059172475485,1742.837972907623,1565.2409099652052,,
COLPAL,1814.0,-0.12008162041630344,1837.7371089141143,1895.3009272222778,1961.6309466901057,2041.462949436863,,
CONCOR,503.75,0.10374046893752054,507.76108020531075,510.56354882485914,503.29188210068276,497.6341941712806,,
COROMANDEL,1959.699951171875,0.08975543738635605,1939.7394387881832,1971.1713213843811,1994.2071726245015,2052.5887502953155,,
CUMMINSIND,5054.0,-0.1164141468592379,5074.334427760283,5199.846961782447,5318.455288758117,5052.4692280013005,,
DLF,676.5,0.18718703187819852,678.8398825984249,673.4521557301491,656.7612154313471,639.7511006287201,,
DABUR,377.0,-0.11493253395339587,380.4611630223417,392.82852774303655,407.7352917318302,441.51071036498485,,
DIVISLAB,9255.0,0.3863638243455396,9195.631130583266,8842.734615519536,8183.548671004964,7108.788308753814,,
DIXON,14310.0,0.22198937646675065,14409.381674702221,14415.385737478171,13879.77672643087,12951.05047734507,,
DRREDDY,1155.5,-0.1131938937257082,1157.7249942540727,1172.629598228819,1199.2604639060794,1239.0208059306883,,
DUMMYHDLVR,,,,,,,,
EICHERMOT,7653.0,0.06707413440247922,7728.925233112449,7871.936888482752,7748.959773007027,7352.77038935244,,
ETERNAL,321.6499938964844,0.26018584022194613,324.1262304116018,321.5807712558293,306.1456724610251,283.4587552793708,,
EXIDEIND,418.3999938964844,0.05979260603345882,425.7352047426102,442.40754877411734,435.5386659314068,392.95956562838813,,
NYKAA,336.8500061035156,0.25889695961155557,336.0964135785487,334.089842916418,324.0905217410403,289.3772135948944,,
FEDERALBNK,340.20001220703125,0.09021804394143373,344.72878296895124,349.26224741315934,342.9312455481579,305.3455720698268,,
FORTIS,895.5999755859375,-0.11821618337302975,906.7389965652383,917.0603717359936,929.4375690578652,927.0389163157721,,
GAIL,176.2899932861328,0.020133746865991675,174.48726880362005,173.73339620498743,172.60864713105013,167.842742284946,,
GMRAIRPORT,96.5199966430664,-0.06403943950439772,96.4630341687453,99.18025766421398,102.28858669675016,100.68646024955987,,
GLENMARK,2459.199951171875,0.1002588560495643,2454.511022253609,2395.1640175587286,2323.527124541971,2204.181325889893,,
GODFRYPHLP,2030.5,-0.08229151139182123,2051.2130980794022,2099.5608694940743,2128.159100553237,2258.8724983468505,,
